skill_rating,assists.defensiveAssists,assists.healingDone,assists.offensiveAssists,average.allDamageDoneAvgPer10Min,average.barrierDamageDoneAvgPer10Min,average.deathsAvgPer10Min,average.eliminationsAvgPer10Min,average.finalBlowsAvgPer10Min,average.healingDoneAvgPer10Min,average.heroDamageDoneAvgPer10Min,average.objectiveKillsAvgPer10Min,average.objectiveTimeAvgPer10Min,average.soloKillsAvgPer10Min,average.timeSpentOnFireAvgPer10Min,best.allDamageDoneMostInGame,best.barrierDamageDoneMostInGame,best.defensiveAssistsMostInGame,best.eliminationsMostInGame,best.environmentalKillsMostInGame,best.finalBlowsMostInGame,best.healingDoneMostInGame,best.heroDamageDoneMostInGame,best.killsStreakBest,best.meleeFinalBlowsMostInGame,best.multikillsBest,best.objectiveKillsMostInGame,best.objectiveTimeMostInGame,best.offensiveAssistsMostInGame,best.soloKillsMostInGame,best.teleporterPadsDestroyedMostInGame,best.timeSpentOnFireMostInGame,best.turretsDestroyedMostInGame,combat.barrierDamageDone,combat.damageDone,combat.deaths,combat.eliminations,combat.environmentalKills,combat.finalBlows,combat.heroDamageDone,combat.meleeFinalBlows,combat.multikills,combat.objectiveKills,combat.objectiveTime,combat.soloKills,combat.timeSpentOnFire,game.gamesLost,game.gamesPlayed,game.gamesTied,game.gamesWon,game.timePlayed,matchAwards.cards,matchAwards.medals,matchAwards.medalsBronze,matchAwards.medalsGold,matchAwards.medalsSilver,miscellaneous.teleporterPadsDestroyed,miscellaneous.turretsDestroyed,assists.reconAssists,best.reconAssistsMostInGame,top_hero,games_played,rank,top_hero_type
1875,0,4971,21,11337,4046,8.46,17.15,6.12,553,7219,8.24,133,0.67,57,35515,14082,0,61,0,25,1810,21134,61,1,4,33,564,12,25,1,295,3,36338,64839,76,154,0,55,64839,1,6,74,1197,6,509,6,7,0,1,5389,0,23,8,6,9,1,3,0,0,dVa,27,45188,tank
2094,338,188600,204,7856,2737,7.4,15.28,4.71,3965,4895,7.63,84,0.74,40,19906,10495,30,45,3,17,18248,12816,45,3,4,28,397,18,17,0,387,9,130186,232823,352,727,9,224,232823,7,6,363,4011,35,1923,12,36,3,21,28539,7,73,30,15,28,0,29,0,0,lucio,36,40987,support
2766,87,42428,9,11037,3879,9.6,19.2,7.41,2155,6879,9.34,95,1.07,61,24774,12933,40,49,0,20,12762,16832,49,1,3,27,291,6,20,0,365,4,76384,135442,189,378,0,146,135442,1,3,184,1869,21,1211,9,16,1,6,11814,2,60,17,19,24,0,5,0,0,moira,139,17960,support
1520,29,12931,22,9471,2849,10.31,16.61,9.93,691,6277,5.93,50,2.51,84,38566,15154,28,53,1,40,4662,21536,53,1,3,29,220,13,40,3,732,14,53345,117534,193,311,1,186,117534,1,1,111,935,47,1580,12,17,1,4,11235,3,32,14,8,10,3,35,8,5,reinhardt,105,48403,tank
2745,158,70331,125,9522,3443,7.17,19.33,6.44,3655,5864,8.78,72,0.31,65,26579,13702,40,48,1,19,13984,15659,48,4,4,28,214,16,19,0,346,5,66256,112824,138,372,1,124,112824,12,3,169,1377,6,1246,4,15,0,11,11545,7,38,11,13,14,0,7,0,0,zarya,26,18697,tank
2869,58,76699,127,9780,3030,6.94,20.61,9.99,1873,6447,8.3,91,1.66,58,21014,10209,14,43,3,21,8092,12755,43,2,3,22,292,12,21,0,202,9,124092,264006,284,844,5,409,264006,19,8,340,3740,68,2391,15,34,2,17,24570,8,113,43,31,39,0,20,0,0,roadhog,23,14699,tank
2942,549,245076,141,5653,1949,6.62,16.37,4.35,7113,3500,7.23,99,0.46,73,23235,13139,39,49,1,22,18512,9427,49,2,3,21,283,13,22,0,319,6,67154,120581,228,564,2,150,120581,9,3,249,3421,16,2510,10,31,0,21,20673,17,84,24,32,28,0,10,0,0,brigitte,43,12682,support
2941,21,8472,8,8662,2411,6.6,20.27,7.31,1997,6124,5.66,82,0,19,13160,3640,16,33,0,11,5010,9986,33,0,0,10,124,6,11,0,54,0,10231,25985,28,86,0,31,25985,0,0,24,348,0,82,2,5,0,3,2546,2,9,3,1,5,0,0,0,0,reinhardt,63,12704,tank
2271,66,23706,20,6541,1457,6.96,17.66,6.87,2114,4977,7.22,78,1.16,66,11736,5012,37,38,2,19,10600,10829,38,3,4,23,161,5,19,0,216,4,16341,55808,78,198,2,77,55808,4,4,81,872,13,736,3,10,1,6,6728,3,22,10,4,8,0,4,0,0,reinhardt,28,36292,tank
3483,145,69993,185,10412,2803,8.94,19.64,10.23,1032,7328,7.48,46,2.96,74,27015,10660,41,56,2,34,11293,19023,56,2,4,32,166,45,34,1,482,7,190049,496928,606,1332,4,694,496928,14,9,507,3092,201,5025,24,56,0,32,40688,14,137,37,55,45,1,37,21,14,widowmaker,38,3415,damage
2665,7,17995,46,11551,2460,7.33,23.54,13.51,1389,8554,7.72,60,5.02,138,21659,7066,6,51,3,26,5729,17684,51,1,3,21,244,14,26,2,607,3,31870,110840,95,305,6,175,110840,2,3,100,773,65,1786,7,14,0,7,7775,7,42,13,18,11,2,6,0,0,junkrat,34,21599,damage
3035,502,284450,564,8192,1826,8.22,18.63,8.72,3149,6134,7.4,57,1.71,72,24981,8580,32,60,2,27,16648,16030,60,3,5,38,496,36,27,1,459,10,164929,553984,742,1683,7,788,553984,23,10,668,5135,154,6540,41,80,1,38,54190,23,229,76,62,91,2,81,8,6,ana,238,9597,support
2565,33,7891,11,10433,4042,5.05,19.85,7.35,411,6085,8.96,82,1.46,56,22474,10019,6,42,1,18,4806,13964,42,0,3,23,270,4,18,0,354,3,77577,116781,97,381,2,141,116781,0,6,172,1571,28,1076,9,17,1,7,11514,5,48,17,18,13,0,6,0,0,dVa,40,25471,tank
3065,123,69480,114,8054,2881,6.45,16.47,5.63,3554,4907,7.21,46,1.02,50,18377,8641,30,31,0,12,12409,9652,31,1,5,24,135,20,12,0,258,4,56318,95925,126,322,0,110,95925,1,8,141,901,20,987,9,16,2,5,11728,3,32,13,9,10,0,11,0,0,ana,24,8909,support
2558,0,3700,18,8650,3233,10.93,15.17,5.13,413,5242,6.91,79,0.89,13,18582,6545,0,32,1,15,2016,11924,32,0,3,18,220,8,15,0,66,6,28995,47009,98,136,2,46,47009,0,2,62,705,8,113,5,7,0,2,5381,1,13,5,1,7,0,6,0,0,reinhardt,85,25736,tank
2009,177,86029,58,5422,883,8.54,15.79,4.3,5523,4378,8.15,84,0.71,49,10401,2932,32,56,1,15,11267,8770,56,1,4,31,221,22,15,0,255,8,13752,68197,133,246,3,67,68197,2,2,127,1308,11,763,9,16,0,7,9347,6,41,12,20,9,0,10,0,0,moira,207,42950,support
1655,12,3926,5,8887,4172,8.36,11.99,8.36,1426,4642,6.9,64,1.45,7,13397,6461,12,19,0,13,3926,6735,19,0,0,11,119,4,13,0,19,0,11484,12779,23,33,0,23,12779,0,0,19,176,4,19,1,2,0,1,1652,0,3,2,0,1,0,0,0,0,junkrat,189,47544,damage
1474,92,30522,18,6855,1907,6.97,20.36,5.76,3378,4637,9.41,94,0.89,38,11839,5498,25,30,0,11,9578,8493,30,0,3,20,165,6,11,0,196,3,17227,41900,63,184,0,52,41900,0,2,85,847,8,339,4,10,0,6,5421,4,36,4,19,13,0,7,0,0,moira,41,48599,support
2763,117,71883,77,2603,667,6.15,8.85,1.41,9216,1835,4.23,77,0.13,44,7341,2712,28,23,1,5,16991,4480,23,0,0,11,282,25,5,0,181,1,5201,14313,48,69,1,11,14313,0,0,33,603,1,344,4,7,0,3,4680,4,12,3,9,0,0,1,0,0,mercy,79,18058,support
2402,1496,896523,480,6841,2484,6.92,14.9,2.91,7898,4189,8.85,126,0.28,67,26203,12140,49,49,3,20,21327,14909,49,1,5,39,603,29,20,1,832,10,281945,475517,785,1692,18,330,475517,7,17,1005,14268,32,7551,53,96,3,40,68112,52,245,50,108,87,2,63,1,1,lucio,285,31998,support
