Rank,Gamer,Skill Rating,# Games,page_number
602,"SNIPERGODFULL
3941","3,941",269,7
602,"GodSkyy
3941","3,941",114,7
602,"N-Boosted-N
3941","3,941",42,7
606,"YT-PiggyMageKing
3940","3,940",150,7
606,"GokuSaijayin5
3940","3,940",21,7
606,"othmanxx_-
3940","3,940",68,7
609,"MainlyMainMcCree
3939","3,939",23,7
609,"Avereux
3939","3,939",244,7
609,"yardyknow
3939","3,939",46,7
609,"ha156md
3939","3,939",195,7
613,"ELITEx_xGAMER
3938","3,938",152,7
613,"hannahbellle
3938","3,938",124,7
615,"Grannyana
3937","3,937",223,7
615,"lGodLikE106
3937","3,937",19,7
615,"Nautilus2K
3937","3,937",89,7
615,"GiuIia
3937","3,937",174,7
619,"Gianna_xoxo
3936","3,936",99,7
619,"meedo__200
3936","3,936",203,7
621,"ImChasinq
3935","3,935",120,7
621,"torbjorn_ta1nt
3935","3,935",176,7
621,"sammie7201
3935","3,935",77,7
624,"DefineBabe
3934","3,934",16,7
624,"H2Oo-_-
3934","3,934",97,7
626,"ForsakenIdol
3933","3,933",59,7
626,"canttouch611
3933","3,933",75,7
626,"nicekun23
3933","3,933",217,7
626,"Reaper101077
3933","3,933",126,7
626,"GuttiGang2121
3933","3,933",307,7
631,"RajeeshIsHere
3932","3,932",60,7
632,"tutilegal
3931","3,931",60,7
632,"KoalaInbound
3931","3,931",271,7
634,"Unseen_Shadow202
 3930","3,930",27,7
634,"iam_milton
3930","3,930",276,7
636,"PokemonYX_
3929","3,929",29,7
636,"CherryBomb-u
3929","3,929",54,7
636,"Doc1930
3929","3,929",75,7
636,"UltimateCowLevel
3929","3,929",42,7
636,"Xx_LeMeP0w3r_xX
3929","3,929",112,7
636,"Mad_man004
3929","3,929",208,7
636,"ThyDankestMemes
3929","3,929",159,7
643,"Wolf_Acez
3928","3,928",108,7
644,"GenguOP
3927","3,927",195,7
644,"WhatsA_Smurf
3927","3,927",47,7
644,"DOOMFISTisblack
3927","3,927",115,7
644,"cr7-70q
3927","3,927",95,7
644,"Andry17
3927","3,927",150,7
649,"EasyFTW
3926","3,926",333,7
649,"smileydude2004
3926","3,926",136,7
649,"PikachuGregEX04
3926","3,926",61,7
649,"DarkWolf266
3926","3,926",33,7
649,"popwiill
3926","3,926",22,7
649,"S_y_k_b_o
3926","3,926",95,7
655,"Haterhots
3925","3,925",33,7
656,"colosse755
3924","3,924",140,7
657,"KAJO727
3923","3,923",35,7
657,"X-_-WHIT3OUT-_-X
3923","3,923",130,7
657,"AntG_98
3923","3,923",39,7
660,"mikman21
3922","3,922",86,7
660,"Mydelle
3922","3,922",72,7
660,"Hoss-_-Alanche
3922","3,922",27,7
660,"qDRAGON_SLAYERp
3922","3,922",255,7
660,"SNK-Rewind
3922","3,922",185,7
665,"justaprank1219
3921","3,921",105,7
665,"Mike_Radio155
3921","3,921",332,7
665,"Lictea
3921","3,921",37,7
665,"BangBangyougaeyy
3921","3,921",217,7
665,"titou2319
3921","3,921",388,7
665,"HarmonyWidow
3921","3,921",56,7
671,"Coolboss147
3920","3,920",242,7
671,"NFused_Soul
3920","3,920",140,7
673,"KapLRZ
3919","3,919",59,7
673,"MeiMain
3919","3,919",26,7
673,"JordanJ3026
3919","3,919",231,7
673,"JRPerl
3919","3,919",597,7
673,"OwNdByBoNG
3919","3,919",128,7
678,"Mr_Optic_OG
3918","3,918",45,7
678,"Call_Me_Daddy202
3918","3,918",130,7
678,"Solunarz
3918","3,918",39,7
678,"docoyatta
3918","3,918",46,7
678,"orekhovsk
3918","3,918",246,7
678,"Rocket-Man-765
3918","3,918",20,7
678,"CaPSMURF
3918","3,918",266,7
685,"DarkOfFire143
3917","3,917",15,7
685,"MONSTALOL313
3917","3,917",95,7
685,"T__rXk
3917","3,917",26,7
688,"beliscute
3916","3,916",134,7
688,"keevon2001
3916","3,916",90,7
688,"hypersonicdog126
3916","3,916",117,7
691,"iExPert_o0
3915","3,915",426,7
691,"CosmicTiger35
3915","3,915",46,7
691,"TERMINATOR110398
3915","3,915",22,7
691,"TicTocSpree
3915","3,915",29,7
691,"luiseca10
 3915","3,915",157,7
691,"thiv8
3915","3,915",30,7
691,"Yuukie--
3915","3,915",81,7
691,"Borderlander23
3915","3,915",39,7
699,"batman2022tffgvc
3914","3,914",30,7
699,"xSunShine02x
3914","3,914",264,7
699,"Wackygonz
3914","3,914",24,8
702,"Narwhal_OverDose
3913","3,913",89,8
702,"Revoced
3913","3,913",45,8
702,"Lady_Skylar
3913","3,913",29,8
705,"exoFreqz
3912","3,912",61,8
705,"GLUTTONYfma
3912","3,912",57,8
705,"Jayzen-san
3912","3,912",27,8
705,"jai-deep1234
3912","3,912",58,8
709,"Sgt_JAB
3911","3,911",164,8
709,"StickyIckyGirl
3911","3,911",41,8
711,"ninjacaster
3910","3,910",47,8
711,"younjjang
3910","3,910",52,8
711,"SpyFoxy13
3910","3,910",58,8
711,"celestial_dreams
3910","3,910",42,8
711,"Porchofgesse
3910","3,910",67,8
711,"Xx__DreaM__D_xX
3910","3,910",46,8
711,"xIDisorder
3910","3,910",74,8
711,"SandeR_0708__
3910","3,910",291,8
719,"Pawgers
3909","3,909",183,8
719,"Rem-Rems
3909","3,909",71,8
721,"yummies-_-
3908","3,908",117,8
722,"Strohhut_835
3907","3,907",53,8
722,"RF13_E115
3907","3,907",128,8
722,"AdrenalineJolt
3907","3,907",302,8
725,"KyleMJP
3906","3,906",65,8
725,"iGluttony_x
3906","3,906",52,8
725,"OccasionalTries
3906","3,906",228,8
725,"KaiDo_97
3906","3,906",80,8
729,"SJtheMonster
3905","3,905",73,8
729,"friggamahn
3905","3,905",75,8
729,"Zacharben
3905","3,905",186,8
732,"Cesaruix
3904","3,904",43,8
732,"dox4567
3904","3,904",181,8
732,"chocolatebunny67
3904","3,904",171,8
732,"TheDolphin450
3904","3,904",83,8
732,"GucciGuGu
3904","3,904",181,8
732,"Kirahwi
3904","3,904",87,8
738,"monkeyGlennx
3903","3,903",57,8
738,"leus_leus
3903","3,903",25,8
738,"RosyMoon-
3903","3,903",36,8
738,"BAD_BOY_X0
3903","3,903",433,8
738,"I_iR_U_L_3_R_x
3903","3,903",177,8
743,"yodaaodat911
3902","3,902",226,8
743,"Klarity_35
3902","3,902",18,8
743,"IzKiitty
3902","3,902",54,8
743,"Maxsib11
3902","3,902",195,8
747,"ExecutiveCaik
3901","3,901",14,8
747,"BooPuffy
3901","3,901",376,8
749,"mew-95
3900","3,900",27,8
749,"spero11
3900","3,900",116,8
749,"WackyBrodyO
3900","3,900",34,8
749,"HoJin-
3900","3,900",25,8
749,"Xx_Mariohv_xX
3900","3,900",43,8
754,"Eduard_009
3899","3,899",210,8
755,"Germa669
3898","3,898",24,8
755,"waredge14
3898","3,898",209,8
757,"O_Shizzles
3897","3,897",88,8
757,"monkeybox888
3897","3,897",246,8
757,"IraqiEagleUsa
3897","3,897",406,8
757,"TuckFrump2016
3897","3,897",24,8
761,"cchean
3896","3,896",139,8
761,"Illumanagui
3896","3,896",22,8
761,"Zipunillo
3896","3,896",25,8
761,"ACHILLES7899
3896","3,896",79,8
765,"DOGEZBORK
3895","3,895",69,8
766,"Daood-_-786
3894","3,894",39,8
766,"goldenmods7
3894","3,894",372,8
766,"culater01
3894","3,894",195,8
766,"Sqxids
3894","3,894",119,8
766,"flame_dragon133
3894","3,894",521,8
771,"Maniatrix94
3893","3,893",79,8
771,"boostedmercy-_-
3893","3,893",73,8
773,"Gill_OW
3892","3,892",82,8
773,"warfare347
3892","3,892",60,8
775,"DavisCran
3890","3,890",39,8
775,"Sinister_C00kie8
3890","3,890",49,8
775,"Tantherr
3890","3,890",52,8
775,"MalackiteOW
3890","3,890",478,8
779,"QuadShot
3889","3,889",90,8
779,"Samqdu
3889","3,889",24,8
779,"SamOramaLama
3889","3,889",172,8
779,"DonSkoomZ
3889","3,889",606,8
783,"AHouseOfBalloons
3888","3,888",72,8
784,"Audio_Medicc
3887","3,887",14,8
784,"barory
3887","3,887",75,8
784,"Akarichy-
3887","3,887",57,8
784,"Tom1315123
3887","3,887",21,8
784,"zExoduus
3887","3,887",253,8
789,"Flex_Torb
3886","3,886",55,8
789,"Warn_TV
3886","3,886",124,8
789,"xKyOloPaRto
3886","3,886",115,8
789,"MAGiC-TARGET3
3886","3,886",403,8
789,"Ecfurus
3886","3,886",50,8
794,"queen_baenana
3885","3,885",34,8
794,"ThezlFreeze
3885","3,885",84,8
796,"Bush_Knock
3884","3,884",54,8
796,"tdt73w2r66w1atw
3884","3,884",109,8
798,"Waseem694
3883","3,883",91,8
798,"BLACK_MASK_9600
3883","3,883",22,8
798,"ISIS_OW
3883","3,883",21,8
801,"The_GanjEh_Man
3882","3,882",47,9
801,"mgalleyCBNS
3882","3,882",74,9
803,"Kiyoushii
3881","3,881",56,9
803,"Calladine_Dragon
3881","3,881",70,9
803,"IamTheCerealGod
3881","3,881",32,9
803,"Sharkeaterx
3881","3,881",98,9
803,"EnigmoFrog
3881","3,881",37,9
808,"DarkskuII1
3880","3,880",48,9
808,"KevinFromStatefm
3880","3,880",88,9
808,"INutellaHD
3880","3,880",31,9
808,"ThotSlayerTorby
3880","3,880",21,9
808,"valentin775vhdm
3880","3,880",228,9
808,"KromatiK_143
3880","3,880",199,9
814,"A_n_d_r_e_w13579
3879","3,879",26,9
814,"KethamixYeahhhhh
3879","3,879",117,9
814,"lCqqz
3879","3,879",300,9
817,"ObliqueMemoriez
3878","3,878",106,9
818,"oDoomFistSmurf
3877","3,877",75,9
818,"FaarisOW
3877","3,877",212,9
818,"xKaoticDeath
3877","3,877",95,9
818,"HLYM_
3877","3,877",83,9
822,"YMotherRussia
3876","3,876",491,9
822,"IMNOTLISTENINGg
3876","3,876",154,9
824,"ItzPyroo-
3875","3,875",319,9
824,"optic5808
3875","3,875",83,9
826,"BmBModernized
3874","3,874",313,9
827,"BubbleMercyy
3873","3,873",49,9
827,"irispam76
3873","3,873",23,9
827,"Z_Doomfist_Z
3873","3,873",49,9
827,"Kirometoro
3873","3,873",178,9
827,"aoidatenshi
3873","3,873",224,9
827,"Cosmogory
3873","3,873",101,9
827,"Cruzical
3873","3,873",265,9
834,"zeiad481
3872","3,872",174,9
835,"S-imon
3871","3,871",62,9
835,"GetSchwifty
3871","3,871",193,9
837,"Snilloo
3870","3,870",28,9
837,"KMillsArt
3870","3,870",70,9
837,"Your_daddy19
3870","3,870",64,9
837,"XxaSsAsSiN23
3870","3,870",178,9
837,"DavidWilsea
3870","3,870",123,9
842,"KushCao23
3869","3,869",28,9
842,"SylerozJumpeR
3869","3,869",29,9
842,"FuZzii_ITA
3869","3,869",188,9
845,"InuChrono
3868","3,868",60,9
845,"benja20050301
3868","3,868",197,9
845,"CrOsS_bOnEz_
3868","3,868",244,9
845,"keoki403
3868","3,868",76,9
845,"xXChi895ckenXx
3868","3,868",52,9
850,"EnchantedRon
3867","3,867",168,9
850,"GIZgamerPR69
3867","3,867",73,9
850,"viiwy
3867","3,867",31,9
853,"ThaWEEZYx
3866","3,866",50,9
853,"X-XNeimadX-X
3866","3,866",55,9
855,"AIM_-_BOB
3865","3,865",71,9
855,"BenTeke3030
3865","3,865",263,9
857,"Cro112521
3864","3,864",20,9
857,"ESTAGOD-_-
3864","3,864",27,9
857,"Koko_Destructor
3864","3,864",69,9
860,"Bakuru93
3863","3,863",41,9
860,"san_ale7
3863","3,863",308,9
860,"KityPawPawNumNum
3863","3,863",30,9
860,"Thefrodoc
3863","3,863",274,9
864,"ThisIsKrowned
3862","3,862",49,9
864,"AuronGontier
3862","3,862",104,9
864,"BlooMayne
3862","3,862",38,9
867,"lolo_2727
3861","3,861",263,9
867,"Andyroomurphey
3861","3,861",27,9
867,"Nosebleed_Time
3861","3,861",286,9
867,"hamoodUAE20
3861","3,861",54,9
867,"blood_of_mercy
3861","3,861",27,9
872,"Its_zVixt
3860","3,860",72,9
873,"TREYRATCHET2003
3859","3,859",90,9
873,"nowadaysss
3859","3,859",177,9
875,"tetreault003
3858","3,858",83,9
875,"Moira_SmurfOnly
3858","3,858",103,9
875,"Dash-reset_
3858","3,858",144,9
875,"Natera-Achee47
3858","3,858",55,9
879,"br_Killer_XD
3857","3,857",37,9
880,"KyIoRens
3856","3,856",100,9
880,"ArcticSUN2311
3856","3,856",47,9
880,"fremanz
3856","3,856",30,9
880,"NoobRydar
3856","3,856",175,9
880,"Zakiloufoque
3856","3,856",134,9
880,"EricM_123
3856","3,856",364,9
880,"SniperDoggii
3856","3,856",310,9
880,"Baestion
3856","3,856",27,9
888,"ExQ_Nova
3855","3,855",66,9
888,"BoomHeadKILL
3855","3,855",31,9
888,"Rubenwrecker16
3855","3,855",179,9
888,"JTBarilla
3855","3,855",142,9
888,"R9-Devil
3855","3,855",51,9
893,"xD_MassacreZ
3854","3,854",49,9
893,"UberArchon
3854","3,854",124,9
893,"tymek9112001
3854","3,854",121,9
896,"xxARROW94xx
3853","3,853",14,9
896,"louzen64260
3853","3,853",150,9
896,"marganisourd
3853","3,853",206,9
896,"lolidevilgirl
3853","3,853",119,9
896,"superhacker26
3853","3,853",163,9
901,"xLeegitt-
3852","3,852",180,10
901,"Exiled_Prince
3852","3,852",114,10
903,"IMA__SLAYER
3851","3,851",81,10
903,"Hotblazer777
3851","3,851",47,10
903,"xxLimePledge
3851","3,851",83,10
903,"AnDyMaN0531
3851","3,851",97,10
907,"VEDTX
3850","3,850",188,10
907,"PharahPlays
3850","3,850",254,10
907,"hellenaal
3850","3,850",78,10
907,"FearTheLegend77
3850","3,850",65,10
911,"UKzRoss
3849","3,849",155,10
911,"thepowner123
3849","3,849",44,10
911,"Amazing-Heatz
3849","3,849",54,10
911,"Foxx-Two
3849","3,849",260,10
911,"healsgudman
3849","3,849",109,10
911,"TheNight345
3849","3,849",113,10
911,"Nak2423
3849","3,849",25,10
911,"YoshiRenYTBR
3849","3,849",160,10
919,"KIDrBEST10
3848","3,848",36,10
919,"Shikurikato-
3848","3,848",74,10
919,"ikorusaki
3848","3,848",96,10
919,"Tuwrtlez
3848","3,848",249,10
919,"loux_curse2
3848","3,848",26,10
924,"Barsoap887
3847","3,847",24,10
924,"Broskie_nate
3847","3,847",33,10
924,"Kingbottyfish
3847","3,847",264,10
927,"Hamtaro1799
3846","3,846",80,10
927,"hiphoptrendz
3846","3,846",145,10
927,"lena4tom
3846","3,846",161,10
927,"Mekowannabe
3846","3,846",330,10
927,"BigYellowAlien
3846","3,846",191,10
932,"sword-kline
3845","3,845",129,10
932,"Pink_GlitterGlam
3845","3,845",23,10
932,"Wmiaou
3845","3,845",110,10
932,"xXKiddo_310Xx
3845","3,845",358,10
932,"xItsNeon
3845","3,845",37,10
932,"pokemon3013
3845","3,845",22,10
938,"Nitresz
3844","3,844",197,10
938,"HA1FxL1FE
3844","3,844",362,10
940,"Crataeis
3843","3,843",279,10
940,"Marfiastrikes
3843","3,843",128,10
940,"MagicCowOfDeath
3843","3,843",146,10
940,"RobTheVegan
3843","3,843",42,10
940,"XenoBuddhist
3843","3,843",53,10
940,"OutLaw_Immune
3843","3,843",41,10
946,"zombiemassacre18
3842","3,842",180,10
946,"grifisio9gamer
3842","3,842",30,10
946,"Xx_TrashMouse_xX
3842","3,842",226,10
949,"minifatruben7
3841","3,841",41,10
949,"OCreepyO
3841","3,841",73,10
951,"Gentracy27
3840","3,840",64,10
951,"crazyman648
3840","3,840",95,10
951,"Showtek12345
3840","3,840",115,10
951,"samalamalam17
3840","3,840",69,10
951,"septimussheep
3840","3,840",299,10
956,"Monkeyfeces1414
3839","3,839",80,10
956,"PAQUITOEVIL
3839","3,839",122,10
956,"Wixlee
3839","3,839",89,10
956,"Im_Wrir
3839","3,839",103,10
956,"ripshelby
3839","3,839",426,10
961,"SouthernDragons
3838","3,838",22,10
962,"lnexorable-
3837","3,837",27,10
962,"Emilionare100
3837","3,837",47,10
962,"byabel887
3837","3,837",121,10
962,"inDcent
3837","3,837",290,10
962,"Tatiyx3
3837","3,837",171,10
962,"pept-o-bismol
3837","3,837",17,10
962,"Zombie23Assassin
3837","3,837",143,10
969,"SB3_995
3836","3,836",14,10
969,"mysticmeechy222
3836","3,836",65,10
969,"macemagic
3836","3,836",48,10
969,"Epic-Mangoz
3836","3,836",419,10
973,"Maxs1buck
3835","3,835",100,10
973,"PHANTOMSHOT97
3835","3,835",308,10
973,"Qlympian
3835","3,835",303,10
973,"givka43
3835","3,835",62,10
977,"Genji_Pro_222
3834","3,834",28,10
977,"Shadeling1313
3834","3,834",60,10
977,"Zeus_Extreme007
3834","3,834",79,10
977,"Blair_Salsa
3834","3,834",15,10
981,"royalist_broski
3833","3,833",404,10
981,"BlackShooterr555
3833","3,833",80,10
981,"Shimada_Bros_69
3833","3,833",24,10
981,"Smurf-Factory
3833","3,833",36,10
985,"Coneminautore5
3832","3,832",71,10
985,"Ryujeihong
3832","3,832",40,10
987,"Jayteke
3831","3,831",30,10
987,"ImToxicAndThrow
3831","3,831",56,10
989,"iTheBlackDragon
3830","3,830",130,10
989,"The_Chefs_Choice
3830","3,830",329,10
989,"yaringimp
3830","3,830",27,10
992,"Riney509
3829","3,829",47,10
992,"Matthy112
 3829","3,829",159,10
994,"WarnTTV
3828","3,828",84,10
994,"waterwizz
3828","3,828",87,10
994,"iiCONAN-KWT
3828","3,828",154,10
994,"lukeaberfoyle_
3828","3,828",25,10
994,"KgalaxyGamer
3828","3,828",274,10
999,"Furk4nh4ji
3827","3,827",83,10
999,"ShivaShanti420
3827","3,827",314,10
999,"Deaths_Avatar
3827","3,827",32,11
999,"techey98
3827","3,827",182,11
999,"ShivaShanti420
3827","3,827",314,11
999,"anawesomefish
3827","3,827",20,11
1005,"DarkAngelFlytox
3826","3,826",344,11
1005,"pantofolakiller
3826","3,826",130,11
1005,"LittleBigColm
3826","3,826",189,11
1005,"ShadowEagle__48
3826","3,826",76,11
1005,"Niksu_30
3826","3,826",141,11
1010,"FishermanDill
3825","3,825",118,11
1010,"Demonhunter719
3825","3,825",55,11
1010,"NecRo-_Elo
3825","3,825",139,11
1010,"J-_-Man-_-Swag
3825","3,825",130,11
1010,"Splrnzy
3825","3,825",281,11
1010,"da_big_pinto
3825","3,825",266,11
1010,"cozart0131
3825","3,825",27,11
1017,"packers107
3824","3,824",668,11
1017,"MBKNASTY
3824","3,824",86,11
1017,"ninjaweenie
3824","3,824",131,11
1017,"PuIsjax
3824","3,824",55,11
1017,"TheStrudel_
3824","3,824",23,11
1017,"VoltzV2
3824","3,824",293,11
1017,"Not_FANKDA
3824","3,824",218,11
1024,"DeadlockDev
3823","3,823",19,11
1024,"yeahBrock
3823","3,823",471,11
1024,"Dr-M-Jrad
3823","3,823",206,11
1024,"KillerGaz97
3823","3,823",154,11
1024,"EOOQO
3823","3,823",35,11
1024,"CoolG845
3823","3,823",103,11
1030,"KMaC_25
3822","3,822",536,11
1031,"Lybwen
3821","3,821",93,11
1031,"M3Dksa33
3821","3,821",45,11
1031,"Scumbag_Brad
3821","3,821",34,11
1034,"vidroca
3820","3,820",46,11
1034,"ToxicReaper4567
3820","3,820",137,11
1034,"tomo09052001
3820","3,820",20,11
1034,"TitansBane
3820","3,820",22,11
1034,"Kekarino
3820","3,820",51,11
1034,"Eskimo856
3820","3,820",31,11
1034,"jusrmarfy
3820","3,820",56,11
1034,"AfroLightning-N
3820","3,820",225,11
1034,"lianpedrocarvalh
3820","3,820",172,11
1043,"Little_Bill16
3819","3,819",441,11
1043,"N-03-H
3819","3,819",100,11
1043,"Sixam47
3819","3,819",82,11
1043,"VoltaicityV2
3819","3,819",121,11
1043,"TheMonchey
3819","3,819",239,11
1043,"Ragnar1001
3819","3,819",124,11
1043,"Desertwarrior0
3819","3,819",491,11
1050,"Brian5524
3818","3,818",43,11
1050,"Ryu_Pig
3818","3,818",134,11
1050,"SlicKamui
3818","3,818",35,11
1050,"zomb1e_sl4yer300
3818","3,818",107,11
1050,"iAlpha-00
3818","3,818",91,11
1055,"Tyraxis
3817","3,817",223,11
1055,"DayDay_Rakim
3817","3,817",158,11
1055,"OnlineSection
3817","3,817",70,11
1058,"Kathiun
3816","3,816",206,11
1058,"yoo_jean
3816","3,816",290,11
1058,"ItsUrGirlNebula
3816","3,816",38,11
1058,"frankiesantos75
3816","3,816",33,11
1062,"IAmTheSpooderman
3815","3,815",657,11
1062,"symmetra2066
3815","3,815",183,11
1062,"l-Tyreece-l
3815","3,815",61,11
1062,"Holosight_X
3815","3,815",41,11
1062,"GrillWithSkill
3815","3,815",109,11
1067,"Hibobo54
3814","3,814",201,11
1067,"Mackiavelli1
3814","3,814",69,11
1067,"jjaninan4
3814","3,814",106,11
1067,"AboFaris_19
3814","3,814",32,11
1067,"hossam_stark
3814","3,814",45,11
1072,"ItsJazzyy-
3813","3,813",51,11
1072,"Boske51
3813","3,813",77,11
1072,"yoruxichi
3813","3,813",132,11
1075,"jason_s_575-
3812","3,812",188,11
1075,"Yosey2Waavy
3812","3,812",25,11
1075,"deadbeast54
3812","3,812",500,11
1075,"xXMuffinDUDEXx
3812","3,812",96,11
1075,"ITOXICPLAYER3492
3812","3,812",266,11
1080,"gwlucas1
3811","3,811",76,11
1080,"JHRackett2
3811","3,811",104,11
1080,"PAkSnack
3811","3,811",305,11
1080,"MrSouffrant
3811","3,811",181,11
1080,"Nightmare_Kanto
3811","3,811",125,11
1080,"Hero_2531
3811","3,811",181,11
1086,"AI3B-B3ED
3810","3,810",44,11
1086,"PogchampDVA
3810","3,810",464,11
1086,"lVl_swiZZy
3810","3,810",42,11
1089,"Hmode37
3809","3,809",135,11
1089,"Based_Lord67
3809","3,809",97,11
1089,"SheLoveMyChoppa
3809","3,809",95,11
1089,"Kamii_P
3809","3,809",33,11
1089,"KoreanWife
3809","3,809",145,11
1089,"Hisokuh
3809","3,809",70,11
1089,"takruless
3809","3,809",40,11
1096,"Protagoras960
3808","3,808",20,11
1096,"FluffehHD
3808","3,808",195,11
1096,"Beaver_Cleaners
3808","3,808",111,11
1099,"xNot_Your_Type
3807","3,807",257,11
1099,"KKalon
3807","3,807",43,11
1099,"xNot_Your_Type
3807","3,807",257,12
1099,"KKalon
3807","3,807",43,12
1099,"Overpenetrated
3807","3,807",100,12
1104,"Toonblox
3806","3,806",205,12
1104,"Squallycard20259
3806","3,806",67,12
1104,"jinerous
3806","3,806",62,12
1107,"iHMD
3805","3,805",96,12
1107,"Mr_Yarin010
3805","3,805",91,12
1107,"restlessash
3805","3,805",49,12
1110,"Kiddy_Gamer01
3804","3,804",38,12
1110,"TwitchXIV
3804","3,804",204,12
1110,"squidiuqs
3804","3,804",184,12
1110,"Roeder3
3804","3,804",62,12
1114,"Emurous
3803","3,803",207,12
1114,"wisper23
3803","3,803",99,12
1114,"AliceKojima
3803","3,803",183,12
1114,"QPWarrior
3803","3,803",113,12
1114,"ah_skiski_14
3803","3,803",314,12
1114,"kaderyounes57
3803","3,803",30,12
1114,"cesar4te
3803","3,803",39,12
1114,"Hellixz
3803","3,803",109,12
1122,"IITigerMaDx
3802","3,802",18,12
1122,"sayderloff123
3802","3,802",64,12
1122,"Aqstin
3802","3,802",32,12
1122,"Cazzaskam
3802","3,802",52,12
1122,"WhosDaily
3802","3,802",40,12
1127,"agnt_green
3801","3,801",38,12
1127,"BlackNitrous1
3801","3,801",48,12
1129,"boot_in_mud
3800","3,800",74,12
1129,"Roadhog_Turret
3800","3,800",124,12
1129,"killer_k765
3800","3,800",288,12
1129,"FallenSalvations
3800","3,800",47,12
1129,"i_fahod
3800","3,800",150,12
1134,"DevillManCryBaby
3799","3,799",184,12
1134,"EDargun
3799","3,799",83,12
1134,"Pa-i-n-
3799","3,799",229,12
1134,"ghostdashh
3799","3,799",166,12
1134,"Jeff_Platlan
3799","3,799",71,12
1134,"merinodelgado
3799","3,799",244,12
1134,"Ale-Alejandrox
3799","3,799",114,12
1141,"Xp7Xp
3798","3,798",90,12
1141,"e-MISTAKES
3798","3,798",22,12
1141,"Occhiolist
3798","3,798",24,12
1144,"llTupacll123
3797","3,797",87,12
1144,"DDY2002
3797","3,797",64,12
1146,"xtrickharder_esp
3796","3,796",336,12
1146,"WilyRav
3796","3,796",117,12
1148,"slicvic1993
3795","3,795",120,12
1148,"tkdPhysicist
3795","3,795",57,12
1148,"DareDevil146
3795","3,795",15,12
1151,"killedbyacid02
3794","3,794",77,12
1151,"Rodiiizx
3794","3,794",154,12
1151,"HpInstaller
3794","3,794",44,12
1154,"akachikis
3793","3,793",167,12
1154,"snipe_the_swag13
3793","3,793",147,12
1154,"proto_1
3793","3,793",38,12
1154,"Hershal64
3793","3,793",41,12
1154,"MarkCBNS
3793","3,793",134,12
1154,"amberchicken50
3793","3,793",52,12
1154,"hnodi1234
3793","3,793",169,12
1154,"RAHMANNINJA
3793","3,793",230,12
1162,"GlassFalcon
3792","3,792",32,12
1162,"So_You-Is-A-Rass
3792","3,792",24,12
1162,"Adrian140404
3792","3,792",32,12
1165,"xGRVNNYxTSUNVDEx
3791","3,791",136,12
1165,"natejackson811
3791","3,791",37,12
1165,"noop-smurf
3791","3,791",239,12
1165,"Badb0y_0210
3791","3,791",94,12
1169,"Naotora_HanaBFK
3790","3,790",18,12
1169,"poovoo
3790","3,790",566,12
1169,"Wilfrage
3790","3,790",71,12
1172,"iiTz-7moOod
3789","3,789",31,12
1172,"MidshipCookie2
3789","3,789",105,12
1172,"KingTukr
3789","3,789",17,12
1175,"turtle279
3788","3,788",93,12
1175,"MrCocoDynoBytes
3788","3,788",266,12
1175,"Carltoncation
3788","3,788",124,12
1175,"pinkllamaplaz
3788","3,788",19,12
1175,"Ztaxu
3788","3,788",109,12
1175,"Astricks01
3788","3,788",57,12
1175,"MISS-B9LH
3788","3,788",101,12
1175,"UncleBadTouch34
3788","3,788",93,12
1175,"WashedUpSym
3788","3,788",16,12
1175,"ahh_reumm
3788","3,788",220,12
1185,"XKIRAX826
3787","3,787",23,12
1185,"BuckBuck720
3787","3,787",461,12
1185,"saxels15
3787","3,787",19,12
1185,"JarneOW
3787","3,787",38,12
1189,"beardedisland
3786","3,786",69,12
1189,"HSarc-_-
3786","3,786",29,12
1189,"Thxmas127
3786","3,786",20,12
1189,"IAnDRyZz
3786","3,786",33,12
1193,"Sepsid
3785","3,785",79,12
1193,"HesMKB
3785","3,785",132,12
1193,"Oh-Tantrums
3785","3,785",140,12
1196,"Intrinsic-Design
3784","3,784",24,12
1196,"Mystogan137
3784","3,784",309,12
1196,"richard0981422
3784","3,784",467,12
1196,"Juansu97
3784","3,784",233,12
1196,"Rewind_XScopesX
3784","3,784",221,12
1196,"Mystogan137
3784","3,784",309,13
1202,"Alkaidd
3783","3,783",136,13
1202,"msptally
3783","3,783",324,13
1202,"Depraved-x
3783","3,783",26,13
1202,"Luckie_BR
3783","3,783",101,13
1202,"red_angel03
3783","3,783",48,13
1202,"PlaySoso02
3783","3,783",231,13
1202,"Xx_Omega_1_xX-
3783","3,783",121,13
1209,"Doreetoes
3782","3,782",73,13
1210,"JEFEnarutim
3781","3,781",16,13
1210,"badings
3781","3,781",102,13
1210,"airblade5
3781","3,781",270,13
1210,"Jeff87356
3781","3,781",103,13
1210,"Hitasumi-
3781","3,781",111,13
1210,"lubranovic
3781","3,781",29,13
1210,"Mel_TheWork
3781","3,781",106,13
1210,"h8moshofficial
3781","3,781",148,13
1218,"BigTimeGamer0027
3780","3,780",315,13
1218,"Pegasus_11X
3780","3,780",67,13
1218,"QS_Cactus
3780","3,780",29,13
1218,"SackbotEthan
3780","3,780",57,13
1218,"doglover360
3780","3,780",55,13
1223,"SyberDrones
3779","3,779",40,13
1223,"cjwait
3779","3,779",37,13
1223,"video_games567
3779","3,779",30,13
1226,"skullbasher015
3778","3,778",224,13
